E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\1_01_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\1_02_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\1_03_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\1_04_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\1_05_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\1_06_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\2_01_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\2_02_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\2_03_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\2_04_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\2_05_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\001\2_06_s.bmp,0
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\1_01_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\1_02_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\1_03_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\1_04_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\1_05_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\1_06_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\2_01_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\2_02_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\2_03_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\2_04_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\2_05_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\002\2_06_s.bmp,1
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\1_01_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\1_02_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\1_03_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\1_04_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\1_05_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\1_06_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\2_01_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\2_02_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\2_03_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\2_04_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\2_05_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\003\2_06_s.bmp,2
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\1_01_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\1_02_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\1_03_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\1_04_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\1_05_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\1_06_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\2_01_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\2_02_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\2_03_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\2_04_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\2_05_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\004\2_06_s.bmp,3
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\1_01_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\1_02_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\1_03_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\1_04_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\1_05_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\1_06_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\2_01_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\2_02_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\2_03_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\2_04_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\2_05_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\005\2_06_s.bmp,4
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\1_01_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\1_02_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\1_03_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\1_04_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\1_05_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\1_06_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\2_01_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\2_02_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\2_03_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\2_04_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\2_05_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\006\2_06_s.bmp,5
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\007\1_01_s.bmp,6
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\007\1_02_s.bmp,6
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\007\1_03_s.bmp,6
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\007\1_04_s.bmp,6
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\007\1_05_s.bmp,6
E:\Python_WorkSpace\Multispectral_palmprint_attack_demo\data\Multispectral_G\007\1_06_s.bmp,6
